Irving, TX (irving-tx), 240916, (32.8295183, -96.9442177)
Killeen, TX (killeen-tx), 153991, (31.1171441, -97.727796)
Laredo, TX (laredo-tx), 263640, (27.5236998, -99.497352)
League City, TX (league+city-tx), 108477, (29.5074538, -95.0949303)
Lewisville, TX (lewisville-tx), 112232, (33.046233, -96.994174)
Lubbock, TX (lubbock-tx), 262611, (33.5635206, -101.879336)
McAllen, TX (mcallen-tx), 143751, (26.2043691, -98.230082)
McKinney, TX (mckinney-tx), 208272, (33.1976496, -96.6154471)
Mesquite, TX (mesquite-tx), 138916, (32.7666103, -96.599472)
Midland, TX (midland-tx), 147069, (31.83688, -102.0103767)
Odessa, TX (odessa-tx), 125413, (31.8457149, -102.367687)
Pasadena, TX (pasadena-tx), 149440, (29.6910625, -95.2091006)
Pearland, TX (pearland-tx), 123562, (29.5639758, -95.2864299)
Plano, TX (plano-tx), 291296, (33.0136764, -96.6925096)
Richardson, TX (richardson-tx), 121112, (32.9481789, -96.7297206)
Round Rock, TX (round+rock-tx), 137575, (30.5085915, -97.6788056)
San Angelo, TX (san+angelo-tx), 101612, (31.4649685, -100.4405094)
San Antonio, TX (san+antonio-tx), 1567118, (29.4246002, -98.4951405)
Sugar Land, TX (sugar+land-tx), 117875, (29.6196787, -95.6349463)
Tyler, TX (tyler-tx), 108222, (30.7563939, -94.3984613)
Waco, TX (waco-tx), 141377, (31.5520981, -97.114845)
Wichita Falls, TX (wichita+falls-tx), 105405, (33.9137085, -98.4933873)
Provo, UT (provo-ut), 116295, (40.2337289, -111.6587085)
Salt Lake City, UT (salt+lake+city-ut), 204087, (40.7596198, -111.8867975)
West Jordan, UT (west+jordan-ut), 116530, (40.6061308, -111.9396586)
West Valley City, UT (west+valley+city-ut), 133894, (40.6967254, -111.9868211)
